
   AIRFOIL COORDINATES
   ===================

      IB1=     10

      X        Z
    0.0000    0.0000
    0.0240    0.0210
    0.0950    0.0380
    0.2060    0.0500
    0.3450    0.0600
    0.5000    0.0580
    0.6550    0.0460
    0.7940    0.0260
    0.9050    0.0120
    1.0000    0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  7      0.0595      3.2500      0.0295     -0.9136
  7      0.1505      3.2500      0.0440     -0.5974
  7      0.2755      3.2500      0.0550     -0.4786
  7      0.4225      3.2500      0.0590     -0.4303
  7      0.5775      3.2500      0.0520     -0.4290
  7      0.7245      3.2500      0.0360     -0.4750
  7      0.8495      3.2500      0.0190     -0.5962
  7      0.9525      3.2500      0.0060     -0.6966
 
  8      0.0595      3.7500      0.0295     -0.9348
  8      0.1505      3.7500      0.0440     -0.6113
  8      0.2755      3.7500      0.0550     -0.4897
  8      0.4225      3.7500      0.0590     -0.4402
  8      0.5775      3.7500      0.0520     -0.4390
  8      0.7245      3.7500      0.0360     -0.4860
  8      0.8495      3.7500      0.0190     -0.6100
  8      0.9525      3.7500      0.0060     -0.7127
 
  9      0.0595      4.2500      0.0295     -0.9641
  9      0.1505      4.2500      0.0440     -0.6304
  9      0.2755      4.2500      0.0550     -0.5051
  9      0.4225      4.2500      0.0590     -0.4541
  9      0.5775      4.2500      0.0520     -0.4527
  9      0.7245      4.2500      0.0360     -0.5012
  9      0.8495      4.2500      0.0190     -0.6291
  9      0.9525      4.2500      0.0060     -0.7351
 
 10      0.0595      4.7500      0.0295     -1.0057
 10      0.1505      4.7500      0.0440     -0.6577
 10      0.2755      4.7500      0.0550     -0.5269
 10      0.4225      4.7500      0.0590     -0.4737
 10      0.5775      4.7500      0.0520     -0.4723
 10      0.7245      4.7500      0.0360     -0.5229
 10      0.8495      4.7500      0.0190     -0.6563
 10      0.9525      4.7500      0.0060     -0.7668
 
 11      0.0595      5.2500      0.0295     -1.0668
 11      0.1505      5.2500      0.0440     -0.6976
 11      0.2755      5.2500      0.0550     -0.5589
 11      0.4225      5.2500      0.0590     -0.5024
 11      0.5775      5.2500      0.0520     -0.5010
 11      0.7245      5.2500      0.0360     -0.5546
 11      0.8495      5.2500      0.0190     -0.6961
 11      0.9525      5.2500      0.0060     -0.8134
 
 12      0.0595      5.7500      0.0295     -1.1589
 12      0.1505      5.7500      0.0440     -0.7578
 12      0.2755      5.7500      0.0550     -0.6071
 12      0.4225      5.7500      0.0590     -0.5458
 12      0.5775      5.7500      0.0520     -0.5442
 12      0.7245      5.7500      0.0360     -0.6025
 12      0.8495      5.7500      0.0190     -0.7562
 12      0.9525      5.7500      0.0060     -0.8836
 
 13      0.0595      6.2500      0.0295     -1.2836
 13      0.1505      6.2500      0.0440     -0.8394
 13      0.2755      6.2500      0.0550     -0.6725
 13      0.4225      6.2500      0.0590     -0.6045
 13      0.5775      6.2500      0.0520     -0.6028
 13      0.7245      6.2500      0.0360     -0.6673
 13      0.8495      6.2500      0.0190     -0.8376
 13      0.9525      6.2500      0.0060     -0.9787
 
