    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    5    6     0.000    -0.000     0.003     0.000    -0.002    -0.008    -0.000    -0.000    -0.000     0.000     0.002     0.007     0.002
    5    7     0.000     0.000     0.002     0.000    -0.002    -0.009    -0.000    -0.000    -0.000     0.000     0.002     0.008     0.002
    5    8     0.000     0.000     0.002     0.000    -0.002    -0.009    -0.000    -0.000    -0.000     0.000     0.002     0.009     0.002
    5    9     0.000    -0.000     0.002     0.000    -0.002    -0.010    -0.000    -0.000    -0.000     0.000     0.002     0.009     0.001
    5   10     0.000     0.000     0.001     0.000    -0.002    -0.010    -0.000    -0.000    -0.000     0.000     0.002     0.010     0.001
    5   11     0.000     0.000     0.001     0.000    -0.002    -0.010    -0.000    -0.000    -0.000     0.000     0.002     0.010     0.001
    5   12     0.000    -0.000     0.001     0.000    -0.002    -0.010    -0.000    -0.000    -0.000     0.000     0.002     0.010     0.001
    5   13     0.000     0.000     0.001     0.000    -0.001    -0.010    -0.000    -0.000    -0.000     0.000     0.002     0.010     0.001
    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    1    1    -0.009    -0.000    -0.091    -0.029     0.000    -0.305     0.016     0.000     0.176     0.039     0.000     0.414     0.195
    1    2    -0.009     0.000    -0.100    -0.015     0.000    -0.163     0.003    -0.000     0.036     0.029    -0.000     0.305     0.079
    1    3    -0.006     0.000    -0.063    -0.008     0.000    -0.082     0.001    -0.000     0.012     0.015    -0.000     0.163     0.030
    1    4    -0.003     0.000    -0.031    -0.004     0.000    -0.044     0.001    -0.000     0.005     0.008    -0.000     0.082     0.012
    1    5    -0.001     0.000    -0.015    -0.002    -0.000    -0.026     0.000    -0.000     0.003     0.004    -0.000     0.044     0.006
    1    6    -0.001    -0.000    -0.008    -0.002     0.000    -0.016     0.000    -0.000     0.002     0.002     0.000     0.026     0.003
    1    7    -0.000    -0.000    -0.005    -0.001     0.000    -0.011     0.000    -0.000     0.001     0.002    -0.000     0.016     0.002
    1    8    -0.000    -0.000    -0.003    -0.001     0.000    -0.007     0.000    -0.000     0.001     0.001    -0.000     0.011     0.001
    1    9    -0.000     0.000    -0.002    -0.000    -0.000    -0.005     0.000     0.000     0.001     0.001    -0.000     0.007     0.001
    1   10    -0.000    -0.000    -0.001    -0.000    -0.000    -0.004     0.000    -0.000     0.000     0.000     0.000     0.005     0.000
    1   11    -0.000    -0.000    -0.001    -0.000     0.000    -0.003     0.000    -0.000     0.000     0.000     0.000     0.004     0.000
    1   12    -0.000    -0.000    -0.001    -0.000     0.000    -0.002     0.000    -0.000     0.000     0.000    -0.000     0.003     0.000
    1   13    -0.000     0.000    -0.001    -0.000    -0.000    -0.001     0.000    -0.000     0.000     0.000    -0.000     0.002     0.000
    2    1    -0.016    -0.000    -0.176    -0.013     0.000    -0.141    -0.002     0.000    -0.018     0.045     0.000     0.476     0.142
    2    2    -0.003     0.000    -0.036    -0.006     0.000    -0.064    -0.001    -0.000    -0.008     0.013    -0.000     0.141     0.033
    2    3    -0.001     0.000    -0.012    -0.003     0.000    -0.036    -0.000     0.000    -0.004     0.006    -0.000     0.064     0.012
    2    4    -0.001     0.000    -0.005    -0.002     0.000    -0.022    -0.000    -0.000    -0.002     0.003    -0.000     0.036     0.006
    2    5    -0.000     0.000    -0.003    -0.001    -0.000    -0.015    -0.000     0.000    -0.002     0.002    -0.000     0.022     0.003
    2    6    -0.000     0.000    -0.002    -0.001     0.000    -0.010    -0.000    -0.000    -0.001     0.001     0.000     0.015     0.002
